id,latitude,longitude,location,vehicle_number,vehicle_type_clean,violation_list,violation_count_per_record,is_wrong_parking,is_no_parking,is_main_road_parking,is_road_crossing_parking,is_footpath_parking,is_double_parking,created_datetime,hour,day_of_week,month,date,is_weekend,time_period,is_peak_hour,police_station,junction_name,is_near_junction,response_time_hours,validation_status,zone_id,zone_center_lat,zone_center_lng
FKID000000,12.9255567,77.618665,"18th Main Road, Block 2, Koramangala, Bengaluru, Karnataka. Pin-560068 (India)",FKN00GL0000,CAR,"['WRONG PARKING', 'PARKING NEAR ROAD CROSSING']",2,1,0,0,1,0,0,2023-11-20 00:28:46+00:00,0,0,11,2023-11-20,0,night,0,Madiwala,No Junction,0,,approved,Z_50_68,12.927477477477478,77.61712962962963
FKID000001,12.9054633,77.7007781,"Sarjapura Main Road, The Grove, Janatha Colony, Doddakannelli, Bengaluru, Karnataka. Pin-560035 (India)",FKN00GL0001,CAR,['NO PARKING'],1,0,1,0,0,0,0,2023-11-24 22:46:46+00:00,22,4,11,2023-11-24,0,night,0,Bellandur,No Junction,0,,,Z_45_86,12.904954954954954,77.70046296296296
FKID000002,12.9254492,77.6185035,"Koramangala 2nd Block, Kormangala West, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560034, India",FKN00GL0002,CAR,"['WRONG PARKING', 'PARKING IN A MAIN ROAD']",2,1,0,1,0,0,0,2023-11-20 00:27:46+00:00,0,0,11,2023-11-20,0,night,0,Madiwala,No Junction,0,,approved,Z_50_68,12.927477477477478,77.61712962962963
FKID000003,12.956521,77.5186178,"6th Cross Road, Manasa Layout, Nagarbhavi, Bengaluru, Karnataka. Pin-560072 (India)",FKN00GL0003,TWO_WHEELER,['NO PARKING'],1,0,1,0,0,0,0,2023-11-16 06:47:46+00:00,6,3,11,2023-11-16,0,morning_peak,0,Byatarayanapura,No Junction,0,,approved,Z_56_47,12.954504504504504,77.5199074074074
FKID000004,12.9777667,77.5805453,"Kalidasa Road, Gandhinagar, Nehru Nagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560009, India",FKN00GL0004,OTHER,['NO PARKING'],1,0,1,0,0,0,0,2023-11-22 04:56:46+00:00,4,2,11,2023-11-22,0,night,0,Upparpet,BTP044 - Sagar Theatre Junction,1,,approved,Z_61_60,12.977027027027026,77.58009259259259
FKID000005,12.9816772,77.6081248,"Dispensary Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",FKN00GL0005,TWO_WHEELER,['NO PARKING'],1,0,1,0,0,0,0,2023-11-28 07:04:46+00:00,7,1,11,2023-11-28,0,morning_peak,0,Shivajinagar,BTP051 - Safina Plaza Junction,1,,approved,Z_62_66,12.98153153153153,77.60787037037036
FKID000006,12.9955535,77.6137265,"1st Cross Road, Silver Enclave, Frazer Town, Bengaluru, Karnataka. Pin-560005 (India)",FKN00GL0006,TWO_WHEELER,['NO PARKING'],1,0,1,0,0,0,0,2023-11-28 06:55:46+00:00,6,1,11,2023-11-28,0,morning_peak,0,Pulikeshinagar(F.Town),No Junction,0,,approved,Z_65_67,12.995045045045044,77.6125
FKID000007,12.9978696,77.5438903,"Padmabhushan Dr MC Modi Road, Adarsha Layout, Basaveshwara Nagar, Bengaluru, Karnataka. Pin-560079 (India)",FKN00GL0007,TWO_WHEELER,['WRONG PARKING'],1,1,0,0,0,0,0,2023-11-28 06:35:46+00:00,6,1,11,2023-11-28,0,morning_peak,0,Vijayanagara,BTP205 - Modi Hospital Junction,1,,approved,Z_66_52,12.999549549549549,77.54305555555555
FKID000008,12.9954021,77.6139993,"Coles Road, Silver Enclave, Frazer Town, Bengaluru, Karnataka. Pin-560005 (India)",FKN00GL0008,OTHER,['NO PARKING'],1,0,1,0,0,0,0,2023-11-28 06:56:46+00:00,6,1,11,2023-11-28,0,morning_peak,0,Pulikeshinagar(F.Town),No Junction,0,,approved,Z_65_67,12.995045045045044,77.6125
FKID000009,12.9954054,77.6140177,"Coles Road, Silver Enclave, Frazer Town, Bengaluru, Karnataka. Pin-560005 (India)",FKN00GL0009,TWO_WHEELER,['NO PARKING'],1,0,1,0,0,0,0,2023-11-28 06:57:46+00:00,6,1,11,2023-11-28,0,morning_peak,0,Pulikeshinagar(F.Town),No Junction,0,,approved,Z_65_67,12.995045045045044,77.6125
