zone_id,violation_count,center_lat,center_lng,wrong_parking_count,no_parking_count,main_road_parking_count,road_crossing_parking_count,footpath_parking_count,double_parking_count,peak_hour_count,weekend_count,junction_violation_count,total_vehicles,unique_vehicles,unique_vehicle_types,unique_violation_types,active_hours,active_days,avg_response_time,median_response_time,police_stations,wrong_parking_ratio,no_parking_ratio,main_road_parking_ratio,road_crossing_ratio,footpath_parking_ratio,double_parking_ratio,peak_hour_ratio,weekend_ratio,junction_violation_ratio,repeat_offender_ratio,vehicle_diversity,temporal_spread,nearest_metro_dist,nearest_mall_dist,nearest_hospital_dist,nearest_market_dist,nearest_bus_stand_dist,nearest_school_dist,nearest_event_venue_dist,poi_count_500m,poi_count_1km,log_violation_count,violation_density_rank,violation_zscore
Z_100_68,3,13.152702702702703,77.61712962962963,3,0,3,0,0,0,1,0,0,3,3,2,8,3,3,,,1,1.0,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.2767857142857143,16369.589224121011,17005.000114218787,13585.286940787853,17423.069750682076,20118.234776222187,15521.14501534307,17582.22279939547,0,0,1.3862943611198906,0.19960861056751467,-0.23623676529311788
Z_100_69,5,13.152702702702703,77.62175925925925,2,4,4,1,0,0,1,0,0,5,5,3,11,4,2,,,1,0.4,0.8,0.8,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.5,0.22619047619047616,16656.2063896243,17222.20414977642,13728.215350823164,17582.701181080418,20244.8511596317,15703.225803107134,17718.98109675625,0,0,1.791759469228055,0.27234181343770386,-0.23377045211205325
Z_102_63,18,13.16171171171171,77.59398148148148,8,12,8,1,3,0,0,12,0,18,18,3,32,5,5,,,1,0.4444444444444444,0.6666666666666666,0.4444444444444444,0.05555555555555555,0.16666666666666666,0.0,0.0,0.6666666666666666,0.0,0.0,0.5,0.46130952380952384,15624.2110933504,17071.744579026083,14135.353883783768,17815.979909275833,20660.55215111344,15816.614615289423,18098.667251937914,0,0,2.9444389791664403,0.47325505544683627,-0.21773941643513314
Z_102_70,29,13.16171171171171,77.62638888888888,16,15,8,0,0,0,16,2,0,29,29,4,39,8,6,,,1,0.5517241379310345,0.5172413793103449,0.27586206896551724,0.0,0.0,0.0,0.5517241379310345,0.06896551724137931,0.0,0.0,0.6666666666666666,0.5952380952380952,17775.374195609566,18342.376586426333,14835.604757523766,18694.48504641745,21344.56990819567,16820.27898035965,18823.24258291012,0,0,3.4011973816621555,0.5512067840834964,-0.20417469393927765
Z_102_74,1,13.16171171171171,77.6449074074074,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,,,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.09226190476190475,18827.54305681365,19097.526465236257,15580.41353097598,19464.71483344159,21978.92776528879,17683.380482831788,19510.63478983508,0,0,0.6931471805599453,0.060665362035225046,-0.2387030784741825
Z_103_88,2,13.166216216216215,77.70972222222223,1,1,0,0,0,0,0,0,0,2,2,1,2,1,1,,,1,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.09226190476190475,20556.135708388618,18800.630473142963,19993.831028591096,23200.795894856496,22271.954720089772,22273.49806120355,21664.610801173407,0,0,1.0986122886681098,0.14840182648401826,-0.2374699218836502
Z_104_65,2,13.17072072072072,77.60324074074074,2,0,1,0,0,0,2,2,0,2,2,1,3,1,1,,,1,1.0,0.0,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.16666666666666666,0.09226190476190475,17013.43634346949,18322.023097026828,15242.136809587073,18981.79266283775,21787.244448019363,17004.717779215178,19228.11497044334,0,0,1.0986122886681098,0.14840182648401826,-0.2374699218836502
Z_105_72,19,13.175225225225224,77.63564814814815,4,19,5,0,1,0,2,2,0,19,19,2,29,2,3,,,1,0.21052631578947367,1.0,0.2631578947368421,0.0,0.05263157894736842,0.0,0.10526315789473684,0.10526315789473684,0.0,0.0,0.3333333333333333,0.25595238095238093,19572.031360222514,20135.521250440255,16583.60971230386,20452.344134619994,23071.0482470974,18595.21589890445,20561.584588774014,0,0,2.995732273553991,0.48238747553816047,-0.2165062598446008
Z_105_92,1,13.175225225225224,77.72824074074074,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,,,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.09226190476190475,22170.38936873473,20040.585470099057,22109.607793299605,25069.237204925725,22963.50659329003,24397.42395399711,22903.445603537613,0,0,0.6931471805599453,0.060665362035225046,-0.2387030784741825
Z_107_73,1,13.184234234234234,77.64027777777777,0,1,1,0,0,0,0,1,0,1,1,1,2,1,1,,,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.16666666666666666,0.09226190476190475,20654.95108298263,21255.634189153006,17696.67407468082,21567.464255448744,24177.157300760256,19713.882151316,21671.54469776684,0,0,0.6931471805599453,0.060665362035225046,-0.2387030784741825
