zone_id,center_lat,center_lng,violation_count,risk_score,impact_score,severity,enforcement_priority,impact_risk_component,impact_density_component,impact_peak_hour_component,impact_road_impact_component,impact_poi_component,impact_repeat_offender_component
Z_100_68,13.152702702702703,77.61712962962963,3,0.0026907376,0.1842294147452071,MEDIUM,721,0.0026907376,0.07678226434655998,0.3333333333333333,0.6,0.28065740537276573,0.0
Z_100_69,13.152702702702703,77.62175925925925,5,0.0018648498,0.1661631828828655,LOW,826,0.0018648498,0.12169700970975657,0.2,0.56,0.2726432598249392,0.0
Z_102_63,13.16171171171171,77.59398148148148,18,0.00015533493,0.1210620415321074,LOW,1142,0.00015533493,0.24938322891569062,0.0,0.28888888888888886,0.27805461933471287,0.0
Z_102_70,13.16171171171171,77.62638888888888,29,0.0015518928,0.19079732424151924,MEDIUM,689,0.0015518928,0.2999799064851025,0.5517241379310345,0.16551724137931034,0.22749568183935054,0.0
Z_102_74,13.16171171171171,77.6449074074074,1,3.2199303e-05,0.019501198010389055,LOW,1526,3.2199303e-05,0.0,0.0,0.0,0.19491538218958304,0.0
Z_103_88,13.166216216216215,77.70972222222223,2,2.6969405e-05,0.02294335525398363,LOW,1525,2.6969405e-05,0.04491474536319661,0.0,0.0,0.13952315359223588,0.0
Z_104_65,13.17072072072072,77.60324074074074,2,0.0034039258,0.2278067553523942,MEDIUM,586,0.0034039258,0.04491474536319661,1.0,0.3,0.22802628538987302,0.0
Z_105_72,13.175225225225224,77.63564814814815,19,0.0017415183,0.10658301488212077,LOW,1226,0.0017415183,0.25506516112190586,0.10526315789473684,0.15789473684210525,0.1557384295562203,0.0
Z_105_92,13.175225225225224,77.72824074074074,1,3.2199303e-05,0.008470024351538518,LOW,1529,3.2199303e-05,0.0,0.0,0.0,0.08460364560107769,0.0
Z_107_73,13.184234234234234,77.64027777777777,1,0.00011508022,0.10112057195209388,LOW,1251,0.00011508022,0.0,0.0,0.6,0.11086047886098527,0.0
Z_107_81,13.184234234234234,77.6773148148148,814,0.9945551,0.5195758394358919,HIGH,277,0.9945551,0.6657526201779643,0.31203931203931207,0.18083538083538084,0.0761650832717925,0.06511056511056512
Z_107_82,13.184234234234234,77.68194444444444,2630,0.99504364,0.5400959865128241,HIGH,178,0.99504364,0.7955714108268092,0.29315589353612165,0.14790874524714825,0.07487601301944358,0.08821292775665401
Z_107_83,13.184234234234234,77.68657407407407,210,0.024990048,0.1220271638239362,LOW,1134,0.024990048,0.5160612146067649,0.004761904761904762,0.002857142857142857,0.07317905959072923,0.02857142857142858
Z_107_84,13.184234234234234,77.6912037037037,67,4.2861684e-05,0.09867866006093015,LOW,1267,4.2861684e-05,0.39062691673018474,0.0,0.0,0.07107582387872902,0.13432835820895528
